geonameid,name,asciiname,country_code,latitude,longitude,population,elevation
3057298,Svätý Michal,Svaety Michal,SK,48.01667,17.51667,1062,
3060809,Čata,Cata,SK,47.95357,18.65147,1035,
3059575,Kamenný Most,Kamenny Most,SK,47.85124,18.65639,1030,
723426,Kráľ,Kral,SK,48.32835,20.34312,932,
3061232,Babindol,Babindol,SK,48.28918,18.23809,825,
3057579,Slepčany,Slepcany,SK,48.31038,18.33964,805,
3056928,Veľká Dolina,Velka Dolina,SK,48.1851,18.03013,678,
3058090,Poľný Kesov,Polny Kesov,SK,48.16511,18.06686,659,
725211,Abovce,Abovce,SK,48.31869,20.33647,612,
3058538,Nevidzany,Nevidzany,SK,48.2846,18.3776,577,
724302,Lenartovce,Lenartovce,SK,48.29794,20.31005,568,
6690447,Vágfüzes,Vagfuezes,SK,47.85141,18.052,563,111
723432,Svätá Mária,Svaeta Maria,SK,48.43326,21.83903,510,
