geonameid,name,asciiname,country_code,latitude,longitude,population,elevation
3191660,Riđica,Rigica,RS,45.99088,19.10635,3186,
3194243,Obrovac,Obrovac,RS,45.32106,19.35048,3177,
3196185,Lovćenac,Lovcenac,RS,45.6816,19.69205,3161,
784604,Aleksandrovo,Aleksandrovo,RS,45.63755,20.59288,3061,
783887,Žitište,Zitiste,RS,45.485,20.54972,3060,
784236,Vranić,Vranic,RS,44.60237,20.32872,3044,
786498,Ralja,Ralja,RS,44.57222,20.56222,2933,
792940,Banatsko Karađorđevo,Banatsko Karagorgevo,RS,45.58693,20.56421,2855,
786021,Sefkerin,Sefkerin,RS,45.00501,20.48256,2836,
784635,Velika Moštanica,Velika Mostanica,RS,44.66486,20.35395,2751,
787621,Nova Crnja,Nova Crnja,RS,45.66833,20.605,2739,
3195939,Maglić,Maglic,RS,45.36248,19.53211,2733,
786035,Sečanj,Secanj,RS,45.36667,20.77222,2718,
784991,Torda,Torda,RS,45.58423,20.459,2697,
3196910,Kupusina,Kupusina,RS,45.73759,19.01082,2694,
787598,Novi Kozarci,Novi Kozarci,RS,45.78241,20.62289,2668,
786283,Ritopek,Ritopek,RS,44.73849,20.65499,2613,
787743,Nakovo,Nakovo,RS,45.87503,20.56709,2604,
792404,Botoš,Botos,RS,45.30837,20.63514,2569,
787296,Ovča,Ovca,RS,44.88349,20.53336,2567,
790394,Gornji Breg,Gornji Breg,RS,45.91995,20.01766,2536,
789124,Krajišnik,Krajisnik,RS,45.45283,20.72976,2495,
792811,Bečmen,Becmen,RS,44.77983,20.20577,2494,
3200560,Gložan,Glozan,RS,45.27954,19.56838,2487,
787837,Mošorin,Mosorin,RS,45.30196,20.16919,2483,
790028,Ilandža,Ilandza,RS,45.16897,20.92008,2426,
791175,Donji Milanovac,Donji Milanovac,RS,44.46593,22.1517,2410,
3186633,Novi Žednik,Novi Zednik,RS,45.94117,19.67141,2381,
789471,Klek,Klek,RS,45.42254,20.48049,2344,
790035,Iđoš,Idos,RS,45.82648,20.31791,2338,
3203822,Bogojevo,Bogojevo,RS,45.53015,19.13022,2312,
789880,Jarkovac,Jarkovac,RS,45.26985,20.76078,2291,
786137,Sakule,Sakule,RS,45.14667,20.48619,2280,
792479,Boka,Boka,RS,45.3554,20.82987,2246,
789415,Knićanin,Knicanin,RS,45.18675,20.319,2226,
788421,Lukićevo,Lukicevo,RS,45.33815,20.49895,2186,
787391,Orlovat,Orlovat,RS,45.24171,20.58089,2159,
785041,Tomaševac,Tomasevac,RS,45.26855,20.62272,2149,
785252,Sutjeska,Sutjeska,RS,45.38312,20.6962,2145,
787164,Pavliš,Pavlis,RS,45.10569,21.23952,2137,
3201353,Doroslovo,Doroslovo,RS,45.60699,19.18868,2131,
3202757,Čenej,Cenej,RS,45.36826,19.80423,2125,
3200746,Gakovo,Gakovo,RS,45.90078,19.06138,2122,
792530,Bočar,Bocar,RS,45.76994,20.2839,2095,
789972,Izbište,Izbiste,RS,45.02253,21.18388,2094,
3202059,Despotovo,Despotovo,RS,45.45983,19.52653,2077,
784274,Vojvoda Stepa,Vojvoda Stepa,RS,45.68537,20.65536,2032,
791452,Dobrica,Dobrica,RS,45.21339,20.84995,2006,
783796,Zuce,Zuce,RS,44.69806,20.55524,2001,
3189891,Stepanovićevo,Stepanovicevo,RS,45.41369,19.7,1999,
785598,Stajićevo,Stajicevo,RS,45.29489,20.45845,1993,
792948,Banatski Despotovac,Banatski Despotovac,RS,45.36606,20.66407,1993,
3215933,Stari Žednik,Stari Zednik,RS,45.94864,19.63029,1947,
787663,Nikolinci,Nikolinci,RS,45.05245,21.06695,1905,
3197862,Kolut,Kolut,RS,45.89292,18.9276,1886,
786583,Radojevo,Radojevo,RS,45.74617,20.78917,1872,
790983,Duboka,Duboka,RS,44.52281,21.75987,1804,
3204670,Bački Breg,Backi Breg,RS,45.92034,18.92944,1770,
786001,Seleuš,Seleus,RS,45.1277,20.91461,1765,
792718,Belo Blato,Belo Blato,RS,45.27278,20.375,1746,
784519,Veliko Središte,Veliko Srediste,RS,45.17919,21.40353,1698,
790823,Farkaždin,Farkazdin,RS,45.19172,20.47239,1662,
786109,Samoš,Samos,RS,45.20255,20.77392,1658,
787682,Neuzina,Neuzina,RS,45.3446,20.71418,1657,
786395,Ravni Topolovac,Ravni Topolovac,RS,45.46082,20.56939,1656,
792888,Baranda,Baranda,RS,45.08459,20.44264,1656,
786146,Sajan,Sajan,RS,45.84227,20.27815,1655,
790560,Golubac,Golubac,RS,44.65296,21.63199,1655,
788073,Međa,Mega,RS,45.53815,20.80677,1636,
784653,Velika Ivanča,Velika Ivanca,RS,44.42639,20.58028,1585,
784661,Velika Greda,Velika Greda,RS,45.24376,21.03498,1585,
786106,Sanad,Sanad,RS,45.97596,20.10816,1584,
791948,Čestereg,Cestereg,RS,45.56361,20.53194,1581,
787602,Novi Itebej,Novi Itebej,RS,45.55918,20.7003,1553,
788153,Margita,Margita,RS,45.21598,21.17527,1550,
3198140,Kisač,Kisac,RS,45.35421,19.72975,1545,
786615,Radenka,Radenka,RS,44.58345,21.76469,1541,
790063,Hajdučica,Hajducica,RS,45.2501,20.96016,1519,
790772,Gardinovci,Gardinovci,RS,45.20359,20.13558,1515,
788515,Lok,Lok,RS,45.21583,20.21222,1509,
792950,Banatska Topola,Banatska Topola,RS,45.67248,20.4653,1463,
789787,Jermenovci,Jermenovci,RS,45.18635,21.0455,1454,
790104,Gudurica,Gudurica,RS,45.16816,21.44264,1448,
790033,Idvor,Idvor,RS,45.18895,20.51442,1442,
788243,Mali Požarevac,Mali Pozarevac,RS,44.56327,20.65433,1391,
792946,Banatski Dvor,Banatski Dvor,RS,45.51866,20.51146,1374,
789888,Janošik,Janosik,RS,45.17141,21.00658,1372,
784344,Vlajkovac,Vlajkovac,RS,45.07207,21.19945,1356,
785530,Stari Lec,Stari Lec,RS,45.28401,20.96433,1341,
785287,Surduk,Surduk,RS,45.07118,20.3251,1332,
785125,Taraš,Taras,RS,45.46737,20.19867,1328,
787998,Mihajlovo,Mihajlovo,RS,45.47085,20.41508,1318,
789828,Jazovo,Jazovo,RS,45.89876,20.2213,1261,
