geonameid,name,asciiname,country_code,latitude,longitude,population,elevation
3052101,Gyál,Gyal,HU,47.38449,19.2214,18646,
3047942,Monor,Monor,HU,47.35133,19.44733,18462,
3043095,Várpalota,Varpalota,HU,47.19936,18.13954,18104,
722439,Békés,Bekes,HU,46.76667,21.13333,18018,
3053590,Dombóvár,Dombovar,HU,46.37657,18.13696,17635,
3046768,Paks,Paks,HU,46.6221,18.85569,17542,
7284837,Budapest XXIII. kerület,Budapest XXIII. keruelet,HU,47.39788,19.11492,17328,
3046888,Oroszlány,Oroszlany,HU,47.48671,18.31225,17230,
3051621,Hatvan,Hatvan,HU,47.66667,19.68333,17193,
3048274,Mátyásföld,Matyasfoeld,HU,47.50949,19.21128,16888,
3049022,Lágymányos,Lagymanyos,HU,47.47243,19.05806,16779,
3050212,Keszthely,Keszthely,HU,46.76812,17.24317,16704,
3043019,Vecsés,Vecses,HU,47.40705,19.28648,16427,
717635,Mezőtúr,Mezotur,HU,47.0,20.63333,16292,
3049519,Komárom,Komarom,HU,47.74318,18.11913,15984,
717771,Mátészalka,Mateszalka,HU,47.95528,22.32348,15910,
3047967,Mohács,Mohacs,HU,45.9902,18.68621,15904,
721592,Csongrád,Csongrad,HU,46.71332,20.14241,15793,
12749851,Csepel-Csillagtelep,Csepel-Csillagtelep,HU,47.40918,19.05944,15747,
3050719,Kalocsa,Kalocsa,HU,46.52981,18.97283,15505,
718739,Kisvárda,Kisvarda,HU,48.21667,22.08333,15461,
715466,Szarvas,Szarvas,HU,46.86667,20.55,15444,
3042968,Veresegyház,Veresegyhaz,HU,47.6459,19.29536,15403,
721378,Diósgyőr,Diosgyor,HU,48.1,20.68333,15355,
715839,Sátoraljaújhely,Satoraljaujhely,HU,48.39492,21.65871,15344,
720284,Hajdúnánás,Hajdunanas,HU,47.85,21.43333,15327,
722636,Balmazújváros,Balmazujvaros,HU,47.61667,21.35,15310,
717652,Mezőkövesd,Mezokovesd,HU,47.81667,20.58333,15045,
3044141,Tapolca,Tapolca,HU,46.88152,17.44117,14958,
3044821,Százhalombatta,Szazhalombatta,HU,47.32949,18.93878,14931,
714697,Tiszaújváros,Tiszaujvaros,HU,47.93333,21.08333,14700,94
3053485,Dunaharaszti,Dunaharaszti,HU,47.3545,19.09822,14427,
3052542,Fót,Fot,HU,47.6177,19.1887,14254,
3053836,Dabas,Dabas,HU,47.18594,19.31091,14101,
723030,Abony,Abony,HU,47.1899,20.00476,13890,
716301,Püspökladány,Puspokladany,HU,47.31667,21.11667,13591,
12503655,Csepel-Királyerdő,Csepel-Kiralyerdo,HU,47.40253,19.09182,13529,
3052241,Göd,God,HU,47.68324,19.13417,13492,
3045476,Sashalom,Sashalom,HU,47.51526,19.17058,12994,
720364,Gyomaendrőd,Gyomaendrod,HU,46.93333,20.83333,12914,
3049896,Kiskőrös,Kiskoros,HU,46.62139,19.28528,12827,
3046230,Pomáz,Pomaz,HU,47.64227,19.02784,12679,
3045979,Rákoscsaba,Rakoscsaba,HU,47.48787,19.29807,12663,
12749905,Újhegy,Ujhegy,HU,47.46719,19.16635,12628,
3047927,Mór,Mor,HU,47.37787,18.20353,12486,
722324,Berettyóújfalu,Berettyoujfalu,HU,47.22362,21.53656,12421,
3054648,Budakeszi,Budakeszi,HU,47.51083,18.92717,12180,
3046340,Pilisvörösvár,Pilisvoeroesvar,HU,47.61386,18.90893,12132,
3055287,Bátonyterenye,Batonyterenye,HU,47.96962,19.84076,12081,
3054809,Bonyhád,Bonyhad,HU,46.29921,18.53024,12056,
3052045,Gyömrő,Gyomro,HU,47.42733,19.40133,12031,
3045154,Soroksár,Soroksar,HU,47.40515,19.12441,11887,
3055601,Balassagyarmat,Balassagyarmat,HU,48.07296,19.29614,11841,151
714692,Tiszavasvári,Tiszavasvari,HU,47.96667,21.35,11586,
3045974,Rákoshegy,Rakoshegy,HU,47.46256,19.23893,11571,
714464,Újfehértó,Ujfeherto,HU,47.8,21.68333,11510,
716948,Nyírbátor,Nyirbator,HU,47.83333,22.13333,11418,
3045564,Sárbogárd,Sarbogard,HU,46.88692,18.62041,11410,
12749875,Havanna-lakótelep,Havanna-lakotelep,HU,47.44031,19.16695,11353,
3047669,Nagykáta,Nagykata,HU,47.41514,19.7441,11323,
3046531,Pécel,Pecel,HU,47.48962,19.34162,11214,
3055566,Balatonfüred,Balatonfuered,HU,46.96188,17.87187,11167,
3044487,Szigethalom,Szigethalom,HU,47.32228,19.00262,11128,
720287,Hajdúhadház,Hajduhadhaz,HU,47.68333,21.66667,10958,
718744,Kisújszállás,Kisujszallas,HU,47.21667,20.76667,10761,
3053562,Dorog,Dorog,HU,47.72095,18.73641,10759,
3050290,Kistarcsa,Kistarcsa,HU,47.54757,19.26247,10748,
3043356,Üllő,UEllo,HU,47.38771,19.35533,10357,
3055368,Barcs,Barcs,HU,45.96,17.45861,10298,
12749862,József Attila-lakótelep,Jozsef Attila-lakotelep,HU,47.46413,19.11681,10256,
